ID,text,ground truth
36,"So   , my older brother had been invited to a wedding over there, a friend of his he’d met online, and he was a little concerned about going there because he’d like never met them before.  So he was like ‘Could you come?’ and I was like ‘I don’t really want to but I mean it’s New York’, so I went.  And when we got there we were picking up our bags and I was waiting and waiting and waiting, and it didn’t turn up and I suppose I was really upset about it, and then.  Yeah, for most of the week I had to basically borrow his clothes until I got my bag back, so but luckily I did manage to get it back before the wedding, so that was, that was nice.",0
37,"OK.  So it was the first night that I properly went out with all my friends, and I hadn’t really drunk a lot before, like I’d had fruit ciders at home and stuff but nothing   like exciting. So we went out and had pre-drinks as, as it’s called these days and that was fine, that was OK.  I was a bit dizzy after that but nothing major.  And then actually going ‘out’ out, don’t remember a lot, but I remember that my friends that I cried because I dropped my cardigan in the road and that I was so tired when we got back that I just fell on my friend’s bed and they had to help me back to my room which was disastrous. I didn’t throw up though, which was very lucky because I don’t   like vomit.  I have a phobia of vomit so I was anxious Yeah, that’s   ",0
43,"Yeah.  I was really excited because it was my second time on holiday since I was four, and it was for my eighteenth birthday party, which I didn’t know.  So I thought I was going to Holland just for like, with my friends to meet up, and when I got there – I went on June the fifth to June the tenth – and when I got there it was just a normal, and then my birthday was on June the sixth. and then they threw a big party for me in a mansion and it was so nice.  And yeah  ",0
44,"Yeah.  So obviously it was in December, and it was obviously around the time of like Christmas and stuff, and then my family was having a really hard time and I just felt a little bit lost.  Like, I didn’t know really where I was going, what I was doing and things like that, and I wasn’t really getting any support from my family, so I was like ‘Why not go somewhere?’  So I spoke to my friend about it and she was sort of feeling the same so we looked it up; and I just really needed the time to reflect on everything that was going on, and then hopefully move forward and understand why I’m here, sort of thing.  So it was just a   adventure sort of, to find who I am with my friend, and just  Yeah, that’s about it ",0
45,"We were upstairs.  My friend was dancing close to someone else, he kept knocking into him, and obviously we’d all had a bit to drink.  So the guy turned round and pushed him, we all just left it at that to start off with, and then this kept happening, you could see they were always staring over at him.  So then them two went at each other, my friend got punched in the face.  So then when everyone was trying to break them away it started, everyone just started to fight each other as it probably would happen, or it does happen.  the bouncers pulled us away said ‘Any more, you’re out’, and it just kept, people just kept going at each other so they kicked us out.  And we went different ways, we went to a kebab shop, ordering food, same people walked in and obviously no security guards or anything, so went at each other again. ",1
49,"Yeah it, it was, I think it’s what, it was all about the social environment from that period of time, because everything was based on   , men’s right.  Women, women were not in, not, were not directly int, introduced in the society as from their kind of    w, women were really. abused in that period of time.  That was pretty bad because I, I, I remember movie scene when a mother has to cut her hair to help her daughter, and also remove her teeth to pay for the rent of the house.  It was pretty weird, and the people for that time, and. I think it’s all about the women’s right in that period of time, but I’m not sure.",0
50,"OK, so last June I went to visit my boyfriend’s Dad in America in North Carolina.  and it was amazing ’cos it was storm season that’s why he took me, ’cos I loves storms; and we saw the biggest thunderstorm that’s hit in like a very, very long time.  Saw lightning hit Walmart, there was a tornado where we passed, went kayaking that day, so it was kind of scary and really intense, so yeah    ",1
54,"OK, yes.  I saw Serena Williams on my break.  I was working by the train station and I decided to take a break and go to the fish and chip shop, and I found Serena there.  She was looking for directions to the Highclere Castle, this is a Newbury, and I spoke to her for a bit ’cos I’m not very good at remembering faces.  So I was like ‘I know you from somewhere, but where do I know you from?’  And then someone just came in, and she was like ‘Oh, it’s Serena Williams’, and I was like ‘Oh my God, it’s Serena Williams!’  I didn’t even notice that I was speaking to her the entire time.  So yeah, we talked for a bit, gave her some directions, and I started that, well I had to go back to work after that.  Yeah",0
57,"OK, so two of my mates and I, we went to the Empire night club, we were there ’til about maybe one or so.  and then some guy from another group of friends he like bumped into my mate.  They started getting into a fight a little bit, I jumped in, and we all got kicked out.  and then we went to, we went to pick up another mate ’cos we were going somewhere else, so we got to the kebab after them.  and basically saw them there and they started like, getting rowdy again and we got into another fight.  And after that we just went home ’cos it was bit of a shit night, so.  That’s about it. ",0
59,"OK.  So we flew out from Heathrow, it was about a two hour flight, maybe just over.  Yeah, about two and a half hours to get there, and we landed in the capital, and it was November so it was very cold We had to wrap up a lot, nice and warm, but yeah it was good.  I went with my family, my Mum, my Dad and my younger sister.  We just went for a week, it was just after half term, last year.  We stayed in a hotel and we just Yeah, it was really, it was a good holiday.  It was, I’d never been anywhere like Poland before, like that area of the world.  I usually go on a lot warmer holidays to hotter countries and stuff.  But we just kind of saw all of the landmarks in Poland in, sorry in the capital of Poland not in the whole of the country, Yeah, and then we flew back a week later.  Yeah, it was good. ",0
74,"So I’m from Australia, and I moved here because I felt like the education was a little bit better than at home, and I want to do something a little bit different, to explore a new country.   , and I felt like it was just a good opportunity to come here and sort of experience a different culture really of where I’m from.  Yeah",0
82,"it was a Skindred concert at like a little venue, and I went there on my own hoping to see friends that were already there.  And I ended up bumping into one of my friends that happened to be in one of their supporting bands.  So I manage to convince him to get me backstage, so I was drinking backstage with them, and I just strolled onstage and then just started like partying in the corner of the stage with Skindred.  So it was really fun, and then at the end of the night I had pictures taken with Benji, and we ended up going off with the promoters – and we ended up in a strip club Yeah. Yeah, it was really fun.  I was really drunk by the end of the night. ",1
85,"Yeah, so I, there was like a club ‘meet and greet’, and I went.  I was so excited to see him and then I got there, and then I saw him outside the toilet and I was like ‘Oh my God, can I get a picture with you?’  And he was like ‘Yeah, come with me’.  So I came with him to his booth and he like roped it off, and then I was like ‘Oh my God!’  I was so excited; and then he said ‘Do you want to get a picture?’ I was like yeah.  Then he was like ‘Do you want a drink?  I said ‘Oh my God, yeah’ and then I went downstairs ’cos he did some more pictures, and I was so excited so I got another one.  And then he gave me a kiss on the cheek and then that was it, and I said ‘Bye’, and it was like the best night of my life ",1
86,"OK, my trip to Poland was with the high school.  like we, I was with four more Spanish people, and we went to another high school in Poland, and we spent time with Turkish people Slovakia’s people and also Polish people.  Like we were on exchange, so speaking English and so on.  we were like doing trips to see Poland and cities like Warsaw or Citlin we do karaokes and things like that.  I don’t know what to say No ",1
88,"So me and my best mate Giovanna, we all go to a club called ‘Libertines’ in London, and it’s one of the best clubs. They’ll let, you get all the high celebrities there, like rich people, like everything.  So I was expecting that I was going to see like big fla, faces there, but I was still a bit shocked because I walked down the stairs, put my jacket away and I bumped into Kaz and Josh from ‘Love Island’.  I was shocked, like I loved them from ‘Love Island’.  So I was in a bit of a shock, I thought I don’t, I didn’t know what to do.  I walked away, I went to the bar, got a drink ’cos I was a bit too shy to talk to them, ’cos I thought they would be a bit like ‘Nah, she’s just an ordinary person’.  So I got a drink and I walked over and I asked to take a picture, and they were like ‘Yeah, sure’; and yeah, that’s all I remember from the night. ",0
97,"OK, well was in, at the beginning of September ’cos obviously I came to Uni in like kind of mid-September, and I had my Mum, Dad and sister.  So yeah at, it was at the, when, when we landed in the actual airport, in the Polish in the airport, yeah.  Sorry.  Yeah, so yeah, so the visa wasn’t valid obviously, so they didn’t let us in.  So we had to divert the flight and come straight back here to the UK, and that was kind of messed up.  And then yeah, that’s about it really That’s pretty much it.  ",0
98,"Yeah, I was actually in the car with him.  We, we were driving along the dual carriageway by the M27.  We’d stopped at traffic lights, and yeah, the car basically had sped up behind us and didn’t stop, and went straight into the back.  So yeah, that happened.  That’s about it really ",0
